	A_rep1	A_rep2	A_rep3	B_rep1	B_rep2	B_rep3
A1BG	11	7	5	25	33	38
A1BG-AS1	1	2	4	12	9	20
A1CF	2	5	7	20	17	22
A2M	1	1	3	4	5	4
A2M-AS1	7	2	19	15	21	25
A2ML1	352	341	638	3	0	1
A2MP1	0	0	1	0	0	0
A4GALT	1344	1102	1440	690	650	908
AAAS	3006	2483	4121	3349	3068	4424
AACS	1891	1553	2458	1699	1589	2286
AACSP1	47	47	95	6	7	9
AADAC	143	127	309	86	81	110
AADAT	86	109	201	395	377	547
AAED1	479	442	866	651	637	770
AAGAB	2141	2060	3634	2911	2869	3547
AAK1	1736	1598	3024	1592	1523	1907
AAMDC	529	451	896	659	559	765
AAMP	5055	4303	7086	5307	4915	7153
AANAT	2	4	4	10	7	9
AAR2	3279	2913	4422	4582	4286	5892
AARS	3401	3049	5543	4737	4468	6321
AARS2	1448	1279	2099	1923	1756	2661
AASDH	808	813	1450	669	655	811
AASDHPPT	1768	1721	3397	2036	2128	2427
AASS	1015	942	1909	994	978	1186
AATF	2991	2529	4379	3677	3455	4599
AATK	36	25	27	29	22	31
ABAT	1504	1309	2085	1692	1629	2248
ABCA1	1773	1611	2544	4201	4338	5259
ABCA10	15	19	35	25	21	30
ABCA11P	156	124	290	182	189	259
ABCA12	414	386	702	18	18	40
ABCA13	2	3	6	4	5	11
ABCA17P	7	2	11	10	6	7
ABCA2	3219	2640	3491	3318	2926	4651
ABCA3	6	12	16	3	3	4
ABCA4	3	2	12	177	196	280
ABCA5	481	524	1056	660	706	718
ABCA6	11	5	4	11	15	18
ABCA7	1368	1100	1612	1196	1071	1687
ABCA9	8	16	26	21	19	28
ABCB10	558	556	1047	848	893	1076
ABCB4	10	6	15	5	5	6
ABCB6	1066	911	1398	556	551	771
ABCB7	1099	1022	1815	716	721	952
ABCB8	1587	1309	2024	1935	1732	2583
ABCB9	536	398	621	447	394	576
ABCC1	3843	3285	5124	3407	3094	4480
ABCC10	915	777	1185	1215	1098	1541
ABCC11	71	39	60	16	8	13
ABCC13	4	2	2	1	0	0
ABCC2	58	51	92	182	180	240
ABCC3	797	663	1184	1429	1357	1969
ABCC4	256	259	411	888	888	1041
ABCC5	1557	1455	2394	2145	1995	2707
ABCC6	20	13	19	10	7	10
ABCD1	561	436	551	663	558	862
ABCD2	5	11	7	9	3	5
ABCD3	2163	2141	4248	1709	1833	2080
ABCD4	981	800	1371	1239	1226	1687
ABCE1	4001	3942	7891	5018	5083	5749
ABCF1	6078	5211	8522	6247	5789	8074
ABCF2	3603	3189	5177	5266	5084	7018
ABCF3	2296	1883	3030	2459	2368	3334
ABCG1	2213	1903	2904	2328	2297	3283
ABCG2	13	15	37	12	10	12
ABCG4	10	11	27	53	36	89
ABCG5	6	6	7	6	2	9
ABHD10	934	992	1688	833	808	1025
ABHD11	742	633	1034	748	632	917
ABHD12	2756	2412	3770	2171	2029	2808
ABHD12B	23	19	35	25	25	28
ABHD13	834	852	1523	1233	1233	1411
ABHD14A	272	229	321	256	199	355
ABHD14B	2203	1833	2564	2392	2222	2993
ABHD15	815	687	1125	534	460	645
ABHD16A	1755	1455	2312	1446	1333	1903
ABHD16B	412	334	369	476	382	653
ABHD2	4642	4239	7731	5906	5696	7366
ABHD3	544	543	1037	505	547	620
ABHD4	1093	1050	1626	1099	1039	1449
ABHD5	1863	1675	3266	1297	1332	1561
ABHD6	490	419	625	369	373	498
ABHD8	447	348	423	375	296	547
ABI1	3818	3534	6260	3018	2909	3704
ABI2	1513	1338	2712	2110	2068	2602
ABI3BP	143	121	230	816	832	962
ABL1	6861	5754	8120	27365	24875	35934
ABL2	1566	1444	2975	4271	4117	4908
ABLIM1	12211	11071	19848	800	685	982
ABLIM2	25	25	40	52	57	95
ABLIM3	639	534	942	23340	22799	29906
ABP1	6	3	4	45	48	76
ABR	2639	2398	3544	6497	6294	8919
ABRACL	1022	987	1791	1497	1501	1846
ABT1	1463	1225	2052	1616	1496	2087
ABTB1	764	657	927	1496	1379	2004
ABTB2	796	710	936	913	845	1246
ACAA1	3288	2723	4233	2528	2301	3538
ACAA2	154	149	293	218	206	307
